,well,qc1.rseal,qc1.cm,qc1.rseries,qc2.raw,qc2.subtracted,qc3.raw,qc3.E4031,qc3.subtracted,qc4.rseal,qc4.cm,qc4.rseries,qc5.staircase,qc5.1.staircase,qc6.subtracted,qc6.1.subtracted,qc6.2.subtracted,protocol,qc3.bookend,QC.Erev.all_protocols,QC.Erev.spread,QC1.all_protocols,QC4.all_protocols,QC6.all_protocols
0,A01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,staircaseramp,True,True,True,True,True,True
1,A02,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,staircaseramp,True,True,True,True,True,True
2,A03,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,staircaseramp,True,True,True,True,True,True
3,A04,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,staircaseramp,True,True,True,True,True,True
4,A05,True,True,True,True,True,True,False,False,False,True,True,True,False,False,False,False,staircaseramp,False,True,True,True,True,True
5,A06,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,staircaseramp,False,True,True,True,True,True
6,A07,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,staircaseramp,False,True,True,True,True,True
7,A08,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,staircaseramp,True,True,True,True,True,True
8,A09,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,staircaseramp,True,True,True,True,True,True
9,A10,False,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,staircaseramp,False,True,True,True,True,True
10,A11,True,True,True,True,True,False,True,False,True,True,True,True,True,False,False,False,staircaseramp,False,True,True,True,True,True
11,A12,False,False,False,True,True,True,True,True,True,False,False,True,False,True,True,True,staircaseramp,False,True,True,True,True,True
12,A13,False,False,False,True,True,True,True,False,True,False,False,True,False,True,True,True,staircaseramp,False,True,True,True,True,True
13,A14,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,staircaseramp,False,True,True,True,True,True
14,A15,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,staircaseramp,False,True,True,True,True,True
15,A16,False,False,False,True,True,True,True,True,False,False,False,True,False,False,False,False,staircaseramp,False,True,True,True,True,True
16,A17,True,True,True,True,True,False,True,False,True,True,True,True,True,False,False,False,staircaseramp,True,True,True,True,True,True
17,A18,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,staircaseramp,True,True,True,True,True,True
18,A19,False,False,False,True,True,False,True,False,True,False,False,True,False,False,False,False,staircaseramp,False,True,True,True,True,True
19,A20,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,False,staircaseramp,False,True,True,True,True,True
20,A21,True,True,True,True,True,False,True,False,False,True,True,True,True,True,False,False,staircaseramp,False,True,True,True,True,True
21,A22,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,staircaseramp,True,True,True,True,True,True
22,A23,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,staircaseramp,True,True,True,True,True,True
23,A24,False,True,False,True,True,False,True,False,True,True,True,False,False,False,False,False,staircaseramp,False,True,True,True,True,True
24,B01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,staircaseramp,True,True,True,True,True,True
25,B02,False,True,True,True,True,True,False,False,False,True,True,True,False,True,True,True,staircaseramp,False,True,True,True,True,True
26,B03,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,staircaseramp,True,True,True,True,True,True
27,B04,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,staircaseramp,True,True,True,True,True,True
28,B05,False,True,True,True,True,False,True,False,True,True,True,False,False,False,False,False,staircaseramp,False,True,True,True,True,True
29,B06,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,staircaseramp,False,True,True,True,True,True
30,B07,False,False,False,True,True,True,True,True,True,False,False,True,False,True,True,True,staircaseramp,True,True,True,True,True,True
31,B08,True,True,True,True,True,False,True,False,True,True,True,True,True,False,False,False,staircaseramp,False,True,True,True,True,True
32,B09,True,True,True,True,False,True,True,True,True,True,True,False,False,True,True,True,staircaseramp,False,True,True,True,True,True
33,B10,True,True,True,True,True,False,True,False,True,True,True,True,True,False,False,False,staircaseramp,False,True,True,True,True,True
34,B11,False,False,False,True,True,True,False,True,False,False,False,True,True,False,False,False,staircaseramp,False,True,True,True,True,True
35,B12,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,staircaseramp,False,True,True,True,True,True
36,B13,False,False,False,True,True,False,True,False,True,False,False,True,False,True,True,True,staircaseramp,False,True,True,True,True,True
37,B14,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,staircaseramp,False,True,True,True,True,True
38,B15,False,False,False,True,True,True,True,True,True,False,False,True,False,True,True,True,staircaseramp,False,True,True,True,True,True
39,B16,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,staircaseramp,True,True,True,True,True,True
40,B17,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,staircaseramp,True,True,True,True,True,True
41,B18,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,staircaseramp,False,True,True,True,True,True
42,B19,False,False,False,True,True,True,True,False,True,False,False,False,False,True,False,False,staircaseramp,False,True,True,True,True,True
43,B20,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,staircaseramp,True,True,True,True,True,True
44,B21,False,False,False,True,True,True,True,True,True,False,False,True,False,False,True,True,staircaseramp,True,True,True,True,True,True
45,B22,True,True,True,True,True,False,True,False,True,True,True,True,True,False,False,False,staircaseramp,False,True,True,True,True,True
46,B23,False,False,False,True,True,False,True,False,True,False,False,True,False,False,False,False,staircaseramp,False,True,True,True,True,True
47,B24,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,staircaseramp,True,True,True,True,True,True
48,C01,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,staircaseramp,False,True,True,True,True,True
49,C02,False,False,False,True,True,True,True,True,True,False,False,True,False,True,True,True,staircaseramp,False,True,True,True,True,True
50,C03,True,True,True,True,True,False,True,False,True,True,True,True,True,False,False,False,staircaseramp,True,True,True,True,True,True
51,C04,False,False,False,True,True,True,True,True,True,False,False,True,False,True,True,True,staircaseramp,False,True,True,True,True,True
52,C05,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,staircaseramp,True,True,True,True,True,True
53,C06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,staircaseramp,True,True,True,True,True,True
54,C07,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,staircaseramp,False,True,True,True,True,True
55,C08,True,True,True,True,True,False,True,False,True,True,True,True,False,False,False,False,staircaseramp,False,True,True,True,True,True
56,C09,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,staircaseramp,True,True,True,True,True,True
57,C10,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,staircaseramp,True,True,True,True,True,True
58,C11,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,staircaseramp,False,True,True,True,True,True
59,C12,False,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,staircaseramp,False,True,True,True,True,True
60,C13,True,True,True,True,True,True,False,False,True,True,True,True,True,False,False,False,staircaseramp,True,True,True,True,True,True
61,C14,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,False,staircaseramp,False,True,True,True,True,True
62,C15,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,staircaseramp,True,True,True,True,True,True
63,C16,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,staircaseramp,True,True,True,True,True,True
64,C17,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,staircaseramp,False,True,True,True,True,True
65,C18,False,False,False,True,True,True,True,False,True,False,False,True,False,True,True,True,staircaseramp,False,True,True,True,True,True
66,C19,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,staircaseramp,False,True,True,True,True,True
67,C20,False,False,False,True,True,True,True,True,True,True,True,False,False,True,True,True,staircaseramp,False,True,True,True,True,True
68,C21,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,staircaseramp,False,True,True,True,True,True
69,C22,False,True,False,True,True,True,True,False,False,True,False,True,False,False,False,False,staircaseramp,False,True,True,True,True,True
70,C23,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,staircaseramp,False,True,True,True,True,True
71,C24,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,staircaseramp,False,True,True,True,True,True
72,D01,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,staircaseramp,False,True,True,True,True,True
73,D02,False,True,True,True,True,False,True,False,True,True,True,False,False,True,True,True,staircaseramp,False,True,True,True,True,True
74,D03,False,False,False,True,True,True,True,True,False,False,False,True,True,False,False,False,staircaseramp,False,True,True,True,True,True
75,D04,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,staircaseramp,False,True,True,True,True,True
76,D05,False,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,staircaseramp,False,True,True,True,True,True
77,D06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,staircaseramp,True,True,True,True,True,True
78,D07,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,staircaseramp,True,True,True,True,True,True
79,D08,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,staircaseramp,True,True,True,True,True,True
80,D09,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,staircaseramp,True,True,True,True,True,True
81,D10,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,False,staircaseramp,False,True,True,True,True,True
82,D11,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,True,staircaseramp,False,True,True,True,True,True
83,D12,True,True,True,True,True,False,True,False,True,True,True,True,True,False,False,False,staircaseramp,False,True,True,True,True,True
84,D13,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,staircaseramp,False,True,True,True,True,True
85,D14,False,False,False,True,True,False,True,False,True,False,False,False,False,False,False,False,staircaseramp,False,True,True,True,True,True
86,D15,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,staircaseramp,False,True,True,True,True,True
87,D16,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,staircaseramp,False,True,True,True,True,True
88,D17,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,staircaseramp,True,True,True,True,True,True
89,D18,True,True,True,True,True,False,True,False,True,True,True,False,False,True,True,True,staircaseramp,False,True,True,True,True,True
90,D19,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,staircaseramp,False,True,True,True,True,True
91,D20,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,staircaseramp,False,True,True,True,True,True
92,D21,False,True,True,True,True,False,False,False,True,True,True,True,False,True,True,True,staircaseramp,False,True,True,True,True,True
93,D22,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,staircaseramp,True,True,True,True,True,True
94,D23,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,staircaseramp,True,True,True,True,True,True
95,D24,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,staircaseramp,True,True,True,True,True,True
96,E01,True,True,False,True,True,True,True,True,False,True,False,True,True,False,False,False,staircaseramp,True,True,True,True,True,True
97,E02,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,staircaseramp,True,True,True,True,True,True
98,E03,True,False,False,True,True,True,True,True,False,False,False,True,True,True,True,True,staircaseramp,False,True,True,True,True,True
99,E04,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,False,staircaseramp,False,True,True,True,True,True
100,E05,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,staircaseramp,False,True,True,True,True,True
101,E06,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,staircaseramp,True,True,True,True,True,True
102,E07,False,False,False,True,True,True,True,True,False,False,False,True,False,False,False,False,staircaseramp,False,True,True,True,True,True
103,E08,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,staircaseramp,True,True,True,True,True,True
104,E09,True,False,False,True,True,False,True,False,True,False,False,True,True,False,False,False,staircaseramp,False,True,True,True,True,True
105,E10,False,False,False,True,True,True,True,False,True,False,False,True,False,True,True,True,staircaseramp,False,True,True,True,True,True
106,E11,False,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,staircaseramp,False,True,True,True,True,True
107,E12,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,staircaseramp,False,True,True,True,True,True
108,E13,True,True,True,True,True,False,True,False,True,True,True,False,False,False,False,False,staircaseramp,False,True,True,True,True,True
109,E14,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,staircaseramp,False,True,True,True,True,True
110,E15,False,False,False,True,True,True,True,False,True,False,False,True,False,False,False,False,staircaseramp,False,True,True,True,True,True
111,E16,False,False,False,True,False,True,True,True,True,False,False,True,False,False,False,False,staircaseramp,True,True,True,True,True,True
112,E17,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,staircaseramp,False,True,True,True,True,True
113,E18,True,True,True,True,True,False,True,False,True,True,True,False,True,False,True,True,staircaseramp,False,True,True,True,True,True
114,E19,True,False,False,True,True,False,False,False,True,False,True,True,False,False,False,True,staircaseramp,False,True,True,True,True,True
115,E20,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,staircaseramp,False,True,True,True,True,True
116,E21,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,staircaseramp,True,True,True,True,True,True
117,E22,False,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,staircaseramp,False,True,True,True,True,True
118,E23,False,False,False,True,True,True,True,True,True,False,False,True,False,True,True,True,staircaseramp,False,True,True,True,True,True
119,E24,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,staircaseramp,True,True,True,True,True,True
120,F01,False,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,staircaseramp,False,True,True,True,True,True
121,F02,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,staircaseramp,False,True,True,True,True,True
122,F03,False,False,False,True,True,False,True,False,True,False,False,False,False,True,False,False,staircaseramp,False,True,True,True,True,True
123,F04,False,False,False,True,True,False,True,False,True,False,False,True,False,False,False,False,staircaseramp,False,True,True,True,True,True
124,F05,False,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,staircaseramp,False,True,True,True,True,True
125,F06,True,True,True,True,True,False,True,False,True,True,True,True,True,False,False,False,staircaseramp,False,True,True,True,True,True
126,F07,False,False,False,True,False,True,True,True,True,False,False,True,False,False,True,True,staircaseramp,False,True,True,True,True,True
127,F08,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,staircaseramp,True,True,True,True,True,True
128,F09,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,staircaseramp,False,True,True,True,True,True
