,Unnamed: 0,well,sweep,protocol,Rseal,Cm,Rseries,gleak_before,E_leak_before,gleak_after,E_leak_after,R_leftover,QC.R_leftover,E_rev,E_rev_before,E_rev_after,QC.Erev,QC6,QC1,QC4,total before-drug flux,-120mV decay time constant 1,-120mV decay time constant 2,-120mV decay time constant 3,-120mV peak current,selected,passed QC,QC.Erev.spread,Erev_spread,pre-drug leak magnitude,post-drug leak magnitude
0,0,A03,0,staircaseramp1,3251069000.0,1.58413e-11,9491014.0,0.7345540279467161,-41.11296239757151,0.9292715112232074,-36.35961095388226,0.0448087589160295,True,-90.74636825355324,-89.57184330525791,-90.46261999707303,True,True,True,True,13417254.586416584,423.5588520365207,71.82414041774116,150.70295323575797,-1075.5094804921905,True,True,True,4.098624786642645,45.54131947767759,50.464018297285634
2,2,B01,0,staircaseramp1,5792134000.0,2.141635e-11,9156678.0,0.4121406698536839,-52.666589006099976,0.3555987292976133,-47.0737820341132,0.0155443598770411,True,-92.9684075056549,-92.82556490304472,-88.44631859934745,True,True,True,True,42667470.68101251,5000.0,135.45628829994453,168.84818143148198,-1808.001796716464,True,True,True,1.546824642663026,36.39405274367184,32.61561878598093
4,4,B03,0,staircaseramp1,4564453000.0,1.444363e-11,16859410.0,0.3623590420531434,-40.259178021604434,0.3972269901283048,-43.52307125223516,0.0427911356898462,True,-94.99129229421752,-94.60215222107718,-74.01825307902278,True,True,True,True,9409021.930318728,346.18119431442466,81.60990540348358,124.85267909637236,-642.852534439676,True,True,True,1.6893850059682762,31.882722101081484,33.840141044100534
6,6,B14,0,staircaseramp1,397472500.0,1.317114e-11,13363160.0,3.721734670398008,-28.92275480738645,2.5738432616781304,-36.29077742551236,0.2131101981976129,True,-98.16815805535384,-93.22461625549695,-85.96973428909115,True,True,True,True,6155591.230641309,119.6766208201542,53.557953621209016,81.1284981730466,-511.5468060384601,True,False,True,4.395328892104303,100.26466238854054,83.9716248056231
8,8,D04,0,staircaseramp1,318530800.0,1.544806e-11,12342810.0,4.058649086618782,-18.63783808060639,3.830978683754432,-20.92253873784857,0.2427275974449604,True,-96.0277998602575,-94.840219391027,-84.38672935331773,True,True,True,True,8164696.047542539,1516.7778520958109,132.1549731316572,170.82023596642804,-719.0759294056961,True,False,True,1.3671048980242233,107.15558291576173,103.24396471626844
10,10,D20,0,staircaseramp1,274045900.0,1.60151e-11,15792530.0,4.911431603043381,-22.780999923619493,3.4698906505352074,-28.699466905886865,0.1252280074718338,True,-94.43282016093193,-91.21500875776265,-95.83905907885844,True,True,True,True,13484146.866468586,284.3753083299416,74.5734517563272,149.34670093987882,-834.7379976031661,True,False,True,0.725681200908582,116.2618574109692,96.82238213375095
12,12,D22,0,staircaseramp1,1614080000.0,1.537003e-11,14930280.0,1.2426705012826054,-47.39140563367231,0.8197421998159931,-53.12033527690043,0.0264134568378509,True,-93.56861698809074,-93.1046101343077,-96.62163703935522,True,True,True,True,23658309.287144545,5000.0,110.4481209415675,152.2130398716035,-1082.227894935127,True,True,True,2.471111223805565,61.08248278695826,51.49268931760216
14,14,E08,0,staircaseramp1,963878400.0,1.80515e-11,8314192.0,1.5337603412731615,-26.64020299451753,1.5835698898367827,-27.2937410745205,0.0673708857437787,True,-95.5892367973073,-93.96884224749238,-85.31675999313457,True,True,True,True,12039887.14535294,309.42241880790027,70.77381643640297,126.72724546853192,-938.7199938401078,True,True,True,2.117651269489329,64.4861719286513,65.47699222550817
16,16,E12,0,staircaseramp1,428718400.0,2.103444e-11,15924340.0,3.09815832796026,-20.2196708896948,2.969858467697468,-29.753698034760788,0.1031703138509313,True,-95.75444747698116,-93.38230858359448,-91.393228731651,True,True,True,True,11390984.944836576,410.5622042328413,83.07677063223097,128.00660960240262,-747.9614580267153,True,False,True,0.2961140008859075,93.06654241413098,89.54774161435705
18,18,F11,0,staircaseramp1,241177200.0,1.295988e-11,12767080.0,5.379152242976467,-19.33536542374597,5.023436023225454,-22.636073190915628,0.2711149577230898,True,-96.38564796839994,-92.17465888567403,-76.72865181183208,True,True,True,True,7894610.343298795,393.85085357759135,84.28875226793332,105.38270963891247,-642.9696922070128,True,True,True,1.2139499315516105,123.02644379865792,117.6251895980846
20,20,G03,0,staircaseramp1,169714300.0,2.691166e-11,17773400.0,7.584737380471128,-18.475946658452028,7.993232628274717,-26.321161735816556,0.2913947770716,True,-97.17833507517184,-89.07137698155685,,True,True,True,True,12659822.685505316,992.2643934513128,60.570829229028405,164.95996634981634,-634.4419512603979,True,False,True,4.686539716775897,146.58128432545934,147.2749378391771
22,22,I22,0,staircaseramp1,6330598000.0,4.627115e-11,10280310.0,0.6123841686670936,-71.65506064841458,0.4090173191602723,-36.53512515623096,0.1963091695646162,True,-96.0402566271012,-95.60013507802178,-89.56646807281847,True,True,True,True,6760823.213469446,220.42454766386453,39.4866356304746,93.90862318787862,-677.6814219776527,True,True,True,1.555895992706667,52.11537219375876,33.49350707924344
24,24,J04,0,staircaseramp1,3129911000.0,1.772512e-11,9893627.0,0.6558530564681401,-44.241862567875565,0.6107038527254819,-65.19793899614355,0.0821336831351762,True,-96.02981814238058,-95.42722896709463,-89.1106136688526,True,True,True,True,8699745.71242547,294.5270326799047,53.25260557459505,126.68110894456083,-715.6227131615055,True,True,True,2.023900619510627,43.63290448526049,49.04587950846635
26,26,J22,0,staircaseramp1,685599500.0,4.579044e-11,16927300.0,2.206522456914058,-31.595452177250785,0.7254855461423231,-28.359897491765462,0.0166768558104337,True,-94.91364296605596,-94.52704126853008,-74.92263942324995,True,True,True,True,22350984.209704667,5000.0,130.89404348042413,156.12629559524072,-985.882425108834,True,False,True,1.690094724904938,77.22193512986318,44.2804977890339
